Symbol,Date,Close
NVDA,6/12/14,19.52
NVDA,6/13/14,19.540001
NVDA,6/16/14,19.48
NVDA,6/17/14,19.610001
NVDA,6/18/14,19.59
NVDA,6/19/14,19.139999
NVDA,6/20/14,18.93
NVDA,6/23/14,18.709999
NVDA,6/24/14,18.42
NVDA,6/25/14,18.610001
NVDA,6/26/14,18.360001
NVDA,6/27/14,18.379999
NVDA,6/30/14,18.540001
NVDA,7/1/14,18.75
NVDA,7/2/14,18.68
NVDA,7/3/14,18.85
NVDA,7/7/14,18.700001
NVDA,7/8/14,18.549999
NVDA,7/9/14,19.110001
NVDA,7/10/14,19.01
NVDA,7/11/14,19.049999
NVDA,7/14/14,19.290001
NVDA,7/15/14,19.370001
NVDA,7/16/14,19.35
NVDA,7/17/14,19.299999
NVDA,7/18/14,18.440001
NVDA,7/21/14,18.549999
NVDA,7/22/14,18.469999
NVDA,7/23/14,18.08
NVDA,7/24/14,18.110001
NVDA,7/25/14,17.790001
NVDA,7/28/14,17.719999
NVDA,7/29/14,17.780001
NVDA,7/30/14,18.08
NVDA,7/31/14,17.5
NVDA,8/1/14,17.690001
NVDA,8/4/14,17.65
NVDA,8/5/14,17.66
NVDA,8/6/14,17.639999
NVDA,8/7/14,17.459999
NVDA,8/8/14,19
NVDA,8/11/14,18.9
NVDA,8/12/14,18.9
NVDA,8/13/14,19.01
NVDA,8/14/14,18.799999
NVDA,8/15/14,19.040001
NVDA,8/18/14,19.299999
NVDA,8/19/14,19.370001
NVDA,8/20/14,19.25
NVDA,8/21/14,19.07
NVDA,8/22/14,19.08
NVDA,8/25/14,19.110001
NVDA,8/26/14,19.450001
NVDA,8/27/14,19.23
NVDA,8/28/14,19.389999
NVDA,8/29/14,19.450001
NVDA,9/2/14,19.5
NVDA,9/3/14,19.68
NVDA,9/4/14,20.030001
NVDA,9/5/14,19.969999
NVDA,9/8/14,19.790001
NVDA,9/9/14,19.540001
NVDA,9/10/14,19.610001
NVDA,9/11/14,19.41
NVDA,9/12/14,19.120001
NVDA,9/15/14,18.860001
NVDA,9/16/14,19.139999
NVDA,9/17/14,19.15
NVDA,9/18/14,19.440001
NVDA,9/19/14,19.08
NVDA,9/22/14,18.889999
NVDA,9/23/14,18.809999
NVDA,9/24/14,18.92
NVDA,9/25/14,18.51
NVDA,9/26/14,18.549999
NVDA,9/29/14,18.52
NVDA,9/30/14,18.450001
NVDA,10/1/14,18.27
NVDA,10/2/14,18.190001
NVDA,10/3/14,18.23
NVDA,10/6/14,18.120001
NVDA,10/7/14,17.93
NVDA,10/8/14,18.26
NVDA,10/9/14,17.91
NVDA,10/10/14,16.85
NVDA,10/13/14,16.790001
NVDA,10/14/14,17.18
NVDA,10/15/14,17.440001
NVDA,10/16/14,17.450001
NVDA,10/17/14,17.42
NVDA,10/20/14,17.57
NVDA,10/21/14,18.32
NVDA,10/22/14,17.889999
NVDA,10/23/14,18.290001
NVDA,10/24/14,18.48
NVDA,10/27/14,18.49
NVDA,10/28/14,18.93
NVDA,10/29/14,18.809999
NVDA,10/30/14,18.690001
NVDA,10/31/14,19.540001
NVDA,11/3/14,19.870001
NVDA,11/4/14,20.129999
NVDA,11/5/14,20.129999
NVDA,11/6/14,20.219999
NVDA,11/7/14,19.790001
NVDA,11/10/14,20.02
NVDA,11/11/14,19.780001
NVDA,11/12/14,19.65
NVDA,11/13/14,19.549999
NVDA,11/14/14,19.790001
NVDA,11/17/14,19.700001
